						  The Restaurant - Description of the internal state

Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion				Table


State	State	State	State	State	State	State	State	State					 Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6

WAFOR	APPST	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	3		7		 -	 -	 -	 -	 -	 -	 -
WAFOR	APPST	GGTRT	TKSTT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	3		7		 -	 -	 -	 -	 -	 -	 -
WAFOR	APPST	GGTRT	TKSTT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	3		7		 1	 -	 -	 -	 -	 -	 -
WAFOR	APPST	GGTRT	TKSTT	GGTRT	GGTRT	GGTRT	GGTRT	TKSTT	3		7		 1	 -	 -	 -	 -	 -	 -
WAFOR	APPST	GGTRT	TKSTT	GGTRT	GGTRT	GGTRT	GGTRT	TKSTT	3		7		 1	 6	 -	 -	 -	 -	 -
WAFOR	APPST	TKSTT	TKSTT	GGTRT	GGTRT	GGTRT	GGTRT	TKSTT	3		7		 1	 6	 -	 -	 -	 -	 -
WAFOR	PRSMN	TKSTT	TKSTT	GGTRT	GGTRT	GGTRT	GGTRT	TKSTT	3		7		 1	 6	 -	 -	 -	 -	 -
WAFOR	PRSMN	TKSTT	TKSTT	GGTRT	GGTRT	GGTRT	GGTRT	TKSTT	3		7		 1	 6	 0	 -	 -	 -	 -
WAFOR	PRSMN	TKSTT	TKSTT	GGTRT	TKSTT	GGTRT	GGTRT	TKSTT	3		7		 1	 6	 0	 -	 -	 -	 -
WAFOR	PRSMN	TKSTT	TKSTT	GGTRT	TKSTT	GGTRT	GGTRT	TKSTT	3		7		 1	 6	 0	 3	 -	 -	 -
WAFOR	PRSMN	TKSTT	SELCS	GGTRT	TKSTT	GGTRT	GGTRT	TKSTT	3		7		 1	 6	 0	 3	 -	 -	 -
WAFOR	PRSMN	TKSTT	SELCS	GGTRT	TKSTT	TKSTT	GGTRT	TKSTT	3		7		 1	 6	 0	 3	 -	 -	 -
WAFOR	PRSMN	TKSTT	SELCS	GGTRT	TKSTT	TKSTT	GGTRT	TKSTT	3		7		 1	 6	 0	 3	 4	 -	 -
WAFOR	PRSMN	TKSTT	SELCS	TKSTT	TKSTT	TKSTT	GGTRT	TKSTT	3		7		 1	 6	 0	 3	 4	 -	 -
WAFOR	PRSMN	TKSTT	SELCS	TKSTT	TKSTT	TKSTT	GGTRT	SELCS	3		7		 1	 6	 0	 3	 4	 -	 -
WAFOR	PRSMN	TKSTT	SELCS	TKSTT	TKSTT	TKSTT	GGTRT	SELCS	3		7		 1	 6	 0	 3	 4	 2	 -
WAFOR	APPST	TKSTT	SELCS	TKSTT	TKSTT	TKSTT	GGTRT	SELCS	3		7		 1	 6	 0	 3	 4	 2	 -
WAFOR	APPST	TKSTT	SELCS	TKSTT	TKSTT	TKSTT	GGTRT	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 -
WAFOR	APPST	SELCS	SELCS	TKSTT	TKSTT	TKSTT	GGTRT	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 -
WAFOR	APPST	SELCS	SELCS	TKSTT	TKSTT	TKSTT	TKSTT	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 -
WAFOR	APPST	SELCS	OGODR	TKSTT	TKSTT	TKSTT	TKSTT	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 -
WAFOR	APPST	SELCS	OGODR	TKSTT	TKSTT	TKSTT	TKSTT	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
WAFOR	APPST	CHTWC	OGODR	TKSTT	TKSTT	TKSTT	TKSTT	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
WAFOR	PRSMN	CHTWC	OGODR	TKSTT	TKSTT	TKSTT	TKSTT	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
