						  The Restaurant - Description of the internal state

	Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion			Table


	State	State	State	State	State	State	State	State	State				Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6

	WAFOR	APPST	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	3	7	-	-	-	-	-	-	-
	WAFOR	APPST	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	3	7	-	-	-	-	-	-	-
	WAFOR	APPST	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	TKSTT	3	7	-	-	-	-	-	-	-
	WAFOR	PRSMN	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	TKSTT	3	7	6	-	-	-	-	-	-
	WAFOR	PRSMN	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	SELCS	3	7	6	-	-	-	-	-	-
	WAFOR	PRSMN	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	-	-	-	-	-	-
	WAFOR	APPST	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	-	-	-	-	-	-
	WAFOR	APPST	GGTRT	GGTRT	TKSTT	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	-	-	-	-	-	-
	WAFOR	PRSMN	GGTRT	GGTRT	TKSTT	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	2	-	-	-	-	-
	WAFOR	PRSMN	GGTRT	GGTRT	SELCS	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	2	-	-	-	-	-
	WAFOR	PRSMN	GGTRT	GGTRT	CHTWC	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	2	-	-	-	-	-
	WAFOR	PRSMN	TKSTT	GGTRT	CHTWC	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	2	-	-	-	-	-
	WAFOR	PRSMN	TKSTT	GGTRT	EJTML	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	2	0	-	-	-	-
	WAFOR	PRSMN	TKSTT	TKSTT	EJTML	GGTRT	GGTRT	GGTRT	OGODR	3	7	6	2	0	-	-	-	-
	WAFOR	PRSMN	TKSTT	TKSTT	EJTML	GGTRT	GGTRT	TKSTT	OGODR	3	7	6	2	0	1	-	-	-
	WAFOR	PRSMN	TKSTT	TKSTT	EJTML	TKSTT	GGTRT	TKSTT	OGODR	3	7	6	2	0	1	5	-	-
	WAFOR	PRSMN	TKSTT	TKSTT	EJTML	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	-
	WAFOR	PRSMN	TKSTT	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	APPST	TKSTT	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	TKSTT	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	SELCS	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	EJTML	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	APPST	CHTWC	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	TKSTT	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	SELCS	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	APPST	CHTWC	SELCS	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	SELCS	CHTWC	TKSTT	TKSTT	TKSTT	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	SELCS	CHTWC	TKSTT	TKSTT	SELCS	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	SELCS	CHTWC	TKSTT	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	SELCS	CHTWC	TKSTT	TKSTT	EJTML	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	SELCS	CHTWC	TKSTT	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	TKSTT	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	EJTML	CHTWC	TKSTT	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	TKSTT	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	APPST	CHTWC	CHTWC	CHTWC	TKSTT	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	TKSTT	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	SELCS	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
